STATECD,UNITCD,UNITCD_NAME,COUNTYCD,COUNTY_NAME
51,1, Coastal Plain,650, Hampton city
51,1, Coastal Plain,700, Newport News city
51,1, Coastal Plain,800, Suffolk city
51,1, Coastal Plain,810, Virginia Beach city
53,9,Inland Empire,1, Adams
53,9,Inland Empire,3, Asotin
53,9,Inland Empire,5, Benton
53,8, Central,7, Chelan
53,6, Olympic Peninsula,9, Clallam
53,7, Southwest,11, Clark
53,9,Inland Empire,13, Columbia
53,7, Southwest,15, Cowlitz
53,8, Central,17, Douglas
53,9,Inland Empire,19, Ferry
53,9,Inland Empire,21, Franklin
53,9,Inland Empire,23, Garfield
53,9,Inland Empire,25, Grant
53,6, Olympic Peninsula,27, Grays Harbor
53,5, Puget Sound,29, Island
53,6, Olympic Peninsula,31, Jefferson
53,5, Puget Sound,33, King
53,5, Puget Sound,35, Kitsap
53,8, Central,37, Kittitas
53,8, Central,39, Klickitat
53,7, Southwest,41, Lewis
53,9,Inland Empire,43, Lincoln
53,6, Olympic Peninsula,45, Mason
53,8, Central,47, Okanogan
53,7, Southwest,49, Pacific
53,9,Inland Empire,51, Pend Oreille
53,5, Puget Sound,53, Pierce
53,5, Puget Sound,55, San Juan
53,5, Puget Sound,57, Skagit
53,7, Southwest,59, Skamania
53,5, Puget Sound,61, Snohomish
53,9,Inland Empire,63, Spokane
53,9,Inland Empire,65, Stevens
53,6, Olympic Peninsula,67, Thurston
53,7, Southwest,69, Wahkiakum
53,9,Inland Empire,71, Walla Walla
53,5, Puget Sound,73, Whatcom
53,9,Inland Empire,75, Whitman
53,8, Central,77, Yakima
54,2, Northeastern,1, Barbour
54,2, Northeastern,3, Berkeley
54,3, Southern,5, Boone
54,2, Northeastern,7, Braxton
54,4, Northwestern,9, Brooke
54,4, Northwestern,11, Cabell
54,4, Northwestern,13, Calhoun
54,3, Southern,15, Clay
54,4, Northwestern,17, Doddridge
54,3, Southern,19, Fayette
54,4, Northwestern,21, Gilmer
54,2, Northeastern,23, Grant
54,3, Southern,25, Greenbrier
54,2, Northeastern,27, Hampshire
54,4, Northwestern,29, Hancock
54,2, Northeastern,31, Hardy
54,2, Northeastern,33, Harrison
54,4, Northwestern,35, Jackson
54,2, Northeastern,37, Jefferson
54,3, Southern,39, Kanawha
54,2, Northeastern,41, Lewis
54,4, Northwestern,43, Lincoln
54,3, Southern,45, Logan
54,3, Southern,47, McDowell
54,4, Northwestern,49, Marion
54,4, Northwestern,51, Marshall
54,4, Northwestern,53, Mason
54,3, Southern,55, Mercer
54,2, Northeastern,57, Mineral
54,3, Southern,59, Mingo
54,4, Northwestern,61, Monongalia
54,3, Southern,63, Monroe
54,2, Northeastern,65, Morgan
54,3, Southern,67, Nicholas
54,4, Northwestern,69, Ohio
54,2, Northeastern,71, Pendleton
54,4, Northwestern,73, Pleasants
54,2, Northeastern,75, Pocahontas
54,2, Northeastern,77, Preston
54,4, Northwestern,79, Putnam
54,3, Southern,81, Raleigh
54,2, Northeastern,83, Randolph
54,4, Northwestern,85, Ritchie
54,4, Northwestern,87, Roane
54,3, Southern,89, Summers
54,2, Northeastern,91, Taylor
54,2, Northeastern,93, Tucker
54,4, Northwestern,95, Tyler
54,2, Northeastern,97, Upshur
54,4, Northwestern,99, Wayne
54,2, Northeastern,101, Webster
54,4, Northwestern,103, Wetzel
54,4, Northwestern,105, Wirt
54,4, Northwestern,107, Wood
54,3, Southern,109, Wyoming
55,3, Central,1, Adams
55,2, Northwestern,3, Ashland
55,2, Northwestern,5, Barron
55,2, Northwestern,7, Bayfield
55,5, Southeastern,9, Brown
55,4, Southwestern,11, Buffalo
55,2, Northwestern,13, Burnett
55,5, Southeastern,15, Calumet
55,3, Central,17, Chippewa
55,3, Central,19, Clark
55,5, Southeastern,21, Columbia
55,4, Southwestern,23, Crawford
55,5, Southeastern,25, Dane
55,5, Southeastern,27, Dodge
55,5, Southeastern,29, Door
55,2, Northwestern,31, Douglas
55,4, Southwestern,33, Dunn
55,3, Central,35, Eau Claire
55,1, Northeastern,37, Florence
55,5, Southeastern,39, Fond du Lac
55,1, Northeastern,41, Forest
55,4, Southwestern,43, Grant
55,5, Southeastern,45, Green
55,5, Southeastern,47, Green Lake
55,4, Southwestern,49, Iowa
55,2, Northwestern,51, Iron
55,3, Central,53, Jackson
55,5, Southeastern,55, Jefferson
55,3, Central,57, Juneau
55,5, Southeastern,59, Kenosha
55,5, Southeastern,61, Kewaunee
55,4, Southwestern,63, La Crosse
55,4, Southwestern,65, Lafayette
55,1, Northeastern,67, Langlade
55,1, Northeastern,69, Lincoln
55,5, Southeastern,71, Manitowoc
55,3, Central,73, Marathon
55,1, Northeastern,75, Marinette
55,3, Central,77, Marquette
55,1, Northeastern,78, Menominee
55,5, Southeastern,79, Milwaukee
55,3, Central,81, Monroe
55,1, Northeastern,83, Oconto
55,1, Northeastern,85, Oneida
55,5, Southeastern,87, Outagamie
55,5, Southeastern,89, Ozaukee
55,4, Southwestern,91, Pepin
55,4, Southwestern,93, Pierce
55,2, Northwestern,95, Polk
55,3, Central,97, Portage
55,2, Northwestern,99, Price
55,5, Southeastern,101, Racine
55,4, Southwestern,103, Richland
55,5, Southeastern,105, Rock
55,2, Northwestern,107, Rusk
55,4, Southwestern,109, St. Croix
55,4, Southwestern,111, Sauk
55,2, Northwestern,113, Sawyer
55,1, Northeastern,115, Shawano
55,5, Southeastern,117, Sheboygan
55,2, Northwestern,119, Taylor
55,4, Southwestern,121, Trempealeau
55,4, Southwestern,123, Vernon
55,1, Northeastern,125, Vilas
55,5, Southeastern,127, Walworth
55,2, Northwestern,129, Washburn
55,5, Southeastern,131, Washington
55,3, Central,135, Waupaca
55,3, Central,137, Waushara
55,3, Central,141, Wood
56,2, Central and Southeastern,1, Albany
56,2, Central and Southeastern,3, Big Horn
56,3, Northeastern,5, Campbell
56,2, Central and Southeastern,7, Carbon
56,2, Central and Southeastern,9, Converse
56,3, Northeastern,11, Crook
56,1, Western,13, Fremont
56,2, Central and Southeastern,15, Goshen
56,1, Western,17, Hot Springs
56,2, Central and Southeastern,19, Johnson
56,2, Central and Southeastern,21, Laramie
56,1, Western,23, Lincoln
56,2, Central and Southeastern,25, Natrona
56,2, Central and Southeastern,27, Niobrara
56,1, Western,29, Park
56,2, Central and Southeastern,31, Platte
56,2, Central and Southeastern,33, Sheridan
